rok,dziedzina,poczta,wojewodztwo,Longitude,Latitude
1997,historia,Poznań,wielkopolskie,16.899,52.413
1997,matematyka,Gdańsk,pomorskie,18.611,54.387
1997,chemia,Warszawa,mazowieckie,21.180,52.190
1997,fizyka,Warszawa,mazowieckie,21.180,52.190
1997,humanistyka,Sieradz,łódzkie,18.730,51.596
1997,humanistyka,Jeżewo,kujawsko-pomorskie,18.352,53.521
1997,matematyka,Kraków,małopolskie,19.883,50.074
1997,humanistyka,Lubin,dolnośląskie,16.194,51.404
1997,matematyka,Konstancin-Jeziorna,mazowieckie,21.107,52.081
1997,humanistyka,Warszawa,mazowieckie,20.952,52.273
1997,matematyka,Chorzów,śląskie,18.955,50.297
1997,humanistyka,Warszawa,mazowieckie,20.952,52.273
1997,historia,Krosno,podkarpackie,21.766,49.682
1997,fizyka,Warszawa,mazowieckie,21.180,52.190
1997,fizyka,Toruń,kujawsko-pomorskie,18.598,53.014
1997,astronomia,Toruń,kujawsko-pomorskie,18.598,53.014
1997,matematyka,Warszawa,mazowieckie,21.180,52.190
1997,chemia,Kłaj,małopolskie,20.298,49.981
1997,fizyka,Legnica,dolnośląskie,16.155,51.207
1997,humanistyka,Rzeszów,podkarpackie,22.058,50.032
1997,matematyka,Białystok,podlaskie,23.144,53.112
1997,technika,Białystok,podlaskie,23.144,53.112
1997,matematyka,Rzeszów,podkarpackie,22.058,50.032
1997,fizyka,Sochaczew,mazowieckie,20.295,52.263
1997,matematyka,Warszawa,mazowieckie,20.952,52.273
1997,historia,Hrubieszów,lubelskie,23.891,50.805
1997,filozofia,Gdańsk,pomorskie,18.611,54.387
1997,plastyka,Kraków,małopolskie,19.883,50.074
1997,humanistyka,Chrzanów,małopolskie,19.400,50.135
1997,plastyka,Białystok,podlaskie,23.144,53.112
1997,biologia,Ozimek  Antoniów,opolskie,18.237,50.699
1997,humanistyka,Toruń,kujawsko-pomorskie,18.598,53.014
1997,fizyka,Katowice,śląskie,19.023,50.276
1997,biologia,Sieradz,łódzkie,18.730,51.596
1997,plastyka,Kalisz,wielkopolskie,18.085,51.767
1997,plastyka,Kalisz,wielkopolskie,18.085,51.767
1997,informatyka,Gdynia,pomorskie,18.509,54.526
1997,biologia,Szczecin,zachodniopomorskie,14.590,53.469
1997,matematyka,Koszalin,zachodniopomorskie,16.226,54.187
1997,historia,Wrocław,dolnośląskie,17.029,51.103
1997,matematyka,Warszawa,mazowieckie,20.952,52.273
1997,fizyka,Warszawa,mazowieckie,20.952,52.273
1997,historia,Police,zachodniopomorskie,14.559,53.510
1997,historia,Bolesławiec,dolnośląskie,15.566,51.266
1997,filozofia,Bolesławiec,dolnośląskie,15.566,51.266
1997,nauki społeczne,Jaworzno,śląskie,19.274,50.205
1997,chemia,Jaworzno,śląskie,19.274,50.205
1997,matematyka,Poznań,wielkopolskie,16.899,52.413
1997,biologia,Radom,mazowieckie,21.147,51.403
1997,chemia,Radom,mazowieckie,21.147,51.403
1997,fizyka,Jelenia Góra,dolnośląskie,15.719,50.904
1997,humanistyka,Warszawa,mazowieckie,21.180,52.190
1997,biologia,Niechcice,łódzkie,19.585,51.271
1997,matematyka,Stalowa Wola,podkarpackie,22.054,50.583
1997,astronomia,Podgórzyn,dolnośląskie,15.674,50.829
1997,historia,Skierniewice,łódzkie,20.158,51.955
1997,biologia,Zduńska Wola,łódzkie,18.939,51.599
1997,biologia,Nowy Sącz,małopolskie,20.715,49.617
1997,historia,Chrzanów,małopolskie,19.400,50.135
1997,matematyka,Nakło,kujawsko-pomorskie,17.602,53.142
1997,fizyka,Poznań,wielkopolskie,16.899,52.413
1997,chemia,Piła,wielkopolskie,16.738,53.151
1997,fizyka,Katowice,śląskie,19.023,50.276
1997,chemia,Warszawa,mazowieckie,21.180,52.190
1997,chemia,Opatów,świętokrzyskie,21.419,50.785
1997,biologia,Opatów,świętokrzyskie,21.419,50.785
1997,chemia,Dąbrowa Górnicza,śląskie,19.195,50.322
1997,matematyka,Białystok,podlaskie,23.144,53.112
1997,biologia,Kolbuszowa,podkarpackie,21.769,50.218
1997,matematyka,Susz,warmińsko-mazurskie,19.397,53.710
1997,humanistyka,Kraków,małopolskie,19.883,50.074
1997,matematyka,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1997,humanistyka,Toruń,kujawsko-pomorskie,18.598,53.014
1997,chemia,Krzemienica,podkarpackie,22.190,50.073
1997,informatyka,Kraków,małopolskie,19.883,50.074
1997,humanistyka,Katowice,śląskie,19.023,50.276
1997,historia,Katowice,śląskie,19.023,50.276
1997,matematyka,Krzywe Koło,pomorskie,18.804,54.174
1997,fizyka,Opoczno,łódzkie,20.279,51.375
1997,matematyka,Gdynia,pomorskie,18.509,54.526
1997,fizyka,Sieradz,łódzkie,18.730,51.596
1997,informatyka,Libiąż,małopolskie,19.330,50.110
1997,fizyka,Warszawa,mazowieckie,21.003,52.238
1997,chemia,Kędzierzyn-Koźle,,18.238,50.355
1997,fizyka,Nakło,kujawsko-pomorskie,17.602,53.142
1997,fizyka,Warszawa,mazowieckie,21.180,52.190
1997,matematyka,Toruń,kujawsko-pomorskie,18.598,53.014
