"","wojewodztwa","Longitude","Latitude","licz_biologia_podstawowa","licz_chemia_podstawowa","licz_fizyka_podstawowa","licz_geografia_podstawowa","licz_historia_podstawowa","licz_informatyka_podstawowa","licz_j_angielski_podstawowa","licz_j_polski_podstawowa","licz_matematyka_podstawowa","licz_WOS_podstawowa","licz_biologia_rozszerzona","licz_chemia_rozszerzona","licz_fizyka_rozszerzona","licz_geografia_rozszerzona","licz_historia_rozszerzona","licz_informatyka_rozszerzona","licz_j_angielski_rozszerzona","licz_j_polski_rozszerzona","licz_matematyka_rozszerzona","licz_WOS_rozszerzona","sr_biologia_podstawowa","sr_chemia_podstawowa","sr_fizyka_podstawowa","sr_geografia_podstawowa","sr_historia_podstawowa","sr_informatyka_podstawowa","sr_j_angielski_podstawowa","sr_j_polski_podstawowa","sr_matematyka_podstawowa","sr_WOS_podstawowa","sr_biologia_rozszerzona","sr_chemia_rozszerzona","sr_fizyka_rozszerzona","sr_geografia_rozszerzona","sr_historia_rozszerzona","sr_informatyka_rozszerzona","sr_j_angielski_rozszerzona","sr_j_polski_rozszerzona","sr_matematyka_rozszerzona","sr_WOS_rozszerzona","maturzysci","rok"
"1","dolnośląskie",318758.734783317,361175.05019965,8228,1741,6334,11353,4122,426,71209,93079,92989,8627,10442,7181,9011,8478,4997,231,14133,12232,18072,9057,51.1506309314958,48.2113727742677,43.7241837056894,45.6654628732494,52.3465426927685,38.3943661971831,68.7197685685798,57.6117265107263,61.4180602006689,56.4543873884317,53.3456234437847,59.3160191245416,53.2290163873784,45.8793347487615,49.1166700020012,62.3722943722944,68.8735583386401,55.636110945954,46.8509296148738,48.6562879540687,93079,2010
"2","kujawsko-pomorskie",465842.300547998,578593.47460022,7592,1499,2208,8875,2862,483,59277,73047,72972,5374,6730,4774,2477,5734,1938,280,7494,5073,8696,3638,51.8764030787557,56.5003335557038,44.5495045844425,50.8917183098592,58.194640539654,47.5445134575569,65.9923073030012,57.256120550301,62.3285095653127,59.5078154075177,56.9249628528975,66.2620444072057,66.1418382451891,55.0284850598768,58.8235294117647,51.0357142857143,70.4081932212437,58.3172051681809,52.8350965961362,53.8620120945574,73047,2010
"3","lubelskie",772477.095961581,379460.89267258,8619,1866,3163,15579,2987,357,89218,107397,107347,10396,10703,7391,4379,13779,4452,234,13968,10375,17746,11741,51.1332395062476,49.2561629153269,46.2154890410163,45.2676038256628,55.5160798835771,41.0476190476191,63.6555291533099,54.1997499049372,59.0133864942663,53.9117929973067,54.5263010370924,63.8357461777838,65.2310268706706,47.6450879357476,52.115004492363,35.3931623931624,68.021549255441,54.9500547645126,51.5276682069199,52.9675496124691,107397,2010
"4","lubuskie",250102.573357138,487061.730677329,3680,964,2236,4962,1651,379,25863,38800,38745,4015,3470,2374,2088,3091,1265,109,4426,3049,4779,2555,50.3798440453686,49.4813278008299,40.9413676024972,47.384925433293,56.9450796672394,33.2084432717678,65.8794030081584,55.0145932014489,59.5198348173958,54.4794520547945,51.9207492795389,63.784751474305,59.0772669220945,49.1712498652,57.2553359683794,44.4220183486239,67.937867148667,53.4661140761502,47.7853107344633,51.1021526418787,38800,2010
"5","łódzkie",528825.079298039,415319.262233603,7601,3203,4065,10001,2323,204,82659,104223,104147,7132,11244,8840,7471,13543,5463,120,20132,14044,19975,9192,51.0441989898354,48.7286918513893,39.3307728995657,46.2269773022698,52.6856545459337,31.4607843137255,66.0890163200619,55.5473567462284,60.4267429690726,54.1728827818284,56.8057037827582,61.2196455505279,60.9590416276268,47.6258337640602,47.4698883397401,39.75,67.7203457182595,52.6133774371456,49.4684355444305,45.9114447345518,104223,2010
"6","małopolskie",591302.831560591,222007.972661482,11787,2233,1518,18253,3773,612,136921,157421,157278,8586,13621,9933,2866,14872,6023,560,23501,15900,24891,10814,51.9005831774874,49.537841468876,45.0821435293485,49.4189448309867,57.4917377499635,37.702614379085,65.6993667881479,57.2639953081571,61.3403273185061,56.8275098998369,54.3446394048406,64.883888721098,66.2206327052803,50.3160301237224,53.8675078864353,48.1428571428571,68.4284498531977,58.8516295025729,52.6961552368326,52.773811725541,157421,2010
"7","mazowieckie",643022.160559537,499325.588407215,15146,4452,9743,23233,7224,690,179278,213010,212758,18405,17913,15018,13398,27296,11234,780,35309,19390,38566,21694,52.2172592562823,47.6185983827493,45.6532895412091,48.0959841604614,56.3624370013786,35.8260869565217,66.591623065853,55.5582341648724,62.3805638330874,57.4687313230101,55.1808742254229,63.5080126070937,61.1032741205155,52.0200762016413,53.3140466441161,51.6153846153846,70.8458749893795,51.8324815978246,53.1790177876886,54.0107863925509,213010,2010
"8","opolskie",422175.452535162,309357.889258931,4503,757,1963,5128,1411,129,29109,37726,37711,4137,3895,2496,1775,3052,1545,70,5352,3748,5023,3285,53.1520049435642,43.6195508586526,41.063761215133,48.3120124804992,55.562707010515,38.1395348837209,65.8711051564808,56.1147878515211,60.8247460953038,56.7208121827411,56.2905434317501,62.4973290598291,54.8084507042254,48.0187854958497,49.9779935275081,53.4285714285714,66.4667414050822,49.9399679829242,48.9707346207446,44.9369863013699,37726,2010
"9","podkarpackie",727321.102662393,236412.632310518,9844,1672,3374,14973,3340,776,95651,109889,109842,10277,9210,6390,3472,10710,3596,351,13475,8823,16044,7726,50.6117166934615,50.4413875598086,44.6904903040054,48.1614906832298,57.963155322009,39.8015463917526,62.7382358783494,54.4806270110896,59.4062380510187,55.0329862800428,54.1062251176258,63.6541471048513,63.6391129032258,48.5457516339869,54.7052280311457,43.2535612535613,67.1464192949907,54.3651406963206,53.1909748192471,51.7054103028734,109889,2010
"10","podlaskie",761999.586861065,606650.468895193,4470,1026,1606,8024,1549,215,49292,58499,58459,4628,5421,4134,2490,8414,1545,335,8485,4215,9618,5502,49.8482637875693,45.1656920077973,45.5727247312375,45.7205882352941,58.8101606039446,35.7209302325581,64.8136411588087,57.0713151483763,60.7113019381105,56.8025064822818,54.3429871487425,66.3114820190292,64.40093708166,49.1056572379368,53.3980582524272,47.8805970149254,66.2969946965233,58.3953413134908,53.4156789353296,50.2151944747365,58499,2010
"11","pomorskie",433888.002780233,699315.112450165,6491,1636,1783,11269,4343,427,66389,80584,80536,6132,6130,4902,2511,7308,3358,365,14246,8883,13549,6266,52.1136289042353,45.7151589242054,36.8800576876853,47.6450439258142,54.5999426710588,39.5456674473068,68.7278916688006,58.4949798900459,62.1303019767557,56.5790932811481,56.4279499728113,63.0242758057936,65.8044603743528,49.8223408137201,51.5461584276355,55.8904109589041,71.1078899340166,49.8672131650855,50.2946342903535,49.1503351420364,80584,2010
"12","śląskie",499480.921145263,273446.448843197,15181,3271,4617,20066,7094,864,165553,188905,188800,11014,14471,11121,4037,10796,6167,456,25328,18172,24296,9288,53.5799898614687,49.4796698257414,46.2509890245897,51.679856473637,58.3045171832477,43.337962962963,65.4272045810103,57.8564372053163,60.4727648305085,59.7003813328491,57.9519959459148,63.6576446962204,65.9957889521922,52.941367173027,55.4233825198638,47.4956140350877,69.5547615287429,58.5642496948352,51.8629404017122,53.2930663221361,188905,2010
"13","świętokrzyskie",624746.459810221,323304.077470651,5548,1445,1710,6843,1633,334,50262,59709,59644,4681,5850,4595,2005,4454,2485,90,6260,4219,8352,4459,54.0398420112222,49.6470588235294,50.5549588256355,47.7033464854596,55.3557369059075,34.4131736526946,62.3141538339103,54.1758836664127,59.5781637717122,56.891903439436,60.2421652421652,63.8828436706565,62.2069825436409,49.8847477922467,52.8700201207243,46.1111111111111,67.8439297124601,56.5741558749381,52.2461685823755,48.1547432159677,59709,2010
